date,vegetable,price_per_kg,temperature_c,rainfall_mm,humidity_percent,festival,transport_strike,supply_quantity_ton,demand_index,season,day_of_week
2024-04-04,Coriander,21.55,28.5,4.86,53.01,No,No,18.33,41.89,Summer,Thursday
2024-04-05,Tomato,42.95,37.75,3.99,60.73,No,No,10.7,82.21,Summer,Friday
2024-04-05,Brinjal,47.03,33.14,1.71,61.58,No,No,11.44,80.21,Summer,Friday
2024-04-05,Onion,48.52,31.78,4.1,78.71,No,No,7.59,49.18,Summer,Friday
2024-04-05,Carrot,54.78,37.01,4.06,65.59,No,No,13.3,75.47,Summer,Friday
2024-04-05,Beans,49.01,35.63,3.02,58.06,No,No,17.16,95.12,Summer,Friday
2024-04-05,Cabbage,36.01,33.4,3.23,50.65,No,No,12.79,64.83,Summer,Friday
2024-04-05,Cauliflower,48.83,36.19,4.45,73.64,No,No,10.34,80.35,Summer,Friday
2024-04-05,Potato,44.3,29.99,4.91,74.18,No,No,7.6,68.1,Summer,Friday
2024-04-05,Chilli,56.73,26.07,2.86,65.87,No,No,12.49,57.37,Summer,Friday
2024-04-05,Pumpkin,32.1,36.34,1.5,63.18,No,No,18.79,76.25,Summer,Friday
2024-04-05,Radish,46.18,28.52,3.53,75.43,No,No,5.84,86.36,Summer,Friday
2024-04-05,Spinach,39.74,35.5,1.22,76.48,No,No,12.88,98.79,Summer,Friday
2024-04-05,Coriander,32.44,34.26,4.97,79.55,No,No,10.47,68.82,Summer,Friday
2024-04-06,Tomato,28.66,26.79,0.52,67.45,No,No,19.52,41.63,Summer,Saturday
2024-04-06,Brinjal,45.67,27.08,4.03,51.08,No,No,17.81,95.67,Summer,Saturday
2024-04-06,Onion,51.59,32.36,4.41,72.64,No,No,8.24,66.8,Summer,Saturday
2024-04-06,Carrot,52.64,28.62,1.31,84.3,No,No,15.41,72.15,Summer,Saturday
2024-04-06,Beans,50.78,31.49,3.33,79.47,No,No,9.62,77.58,Summer,Saturday
2024-04-06,Cabbage,36.52,29.94,4.78,55.36,No,No,9.05,54.28,Summer,Saturday
2024-04-06,Cauliflower,52.21,31.86,0.8,62.96,No,No,5.09,78.85,Summer,Saturday
2024-04-06,Potato,43.26,35.66,4.85,69.33,No,No,13.9,84.96,Summer,Saturday
2024-04-06,Chilli,66.03,32.62,1.03,69.3,No,No,6.77,83.87,Summer,Saturday
2024-04-06,Pumpkin,31.89,29.48,2.95,85.58,No,No,11.45,49.51,Summer,Saturday
2024-04-06,Radish,35.41,36.77,3.1,84.71,No,No,18.5,76.79,Summer,Saturday
2024-04-06,Spinach,31.76,36.1,0.07,76.31,No,No,17.27,74.23,Summer,Saturday
2024-04-06,Coriander,32.93,29.53,3.63,60.52,No,No,9.9,69.29,Summer,Saturday
2024-04-07,Tomato,34.52,26.26,1.78,63.48,No,No,17.24,62.93,Summer,Sunday
2024-04-07,Brinjal,40.99,35.89,0.48,77.43,No,No,13.47,57.08,Summer,Sunday
2024-04-07,Onion,56.16,26.93,4.78,70.81,No,No,7.88,88.4,Summer,Sunday
2024-04-07,Carrot,53.51,29.85,0.66,84.84,No,No,17.46,83.68,Summer,Sunday
2024-04-07,Beans,45.32,34.43,3.69,89.49,No,No,12.27,59.52,Summer,Sunday
2024-04-07,Cabbage,38.06,27.05,4.22,60.39,No,No,6.28,52.27,Summer,Sunday
2024-04-07,Cauliflower,52.62,26.2,1.3,68.07,No,No,10.41,99.53,Summer,Sunday
2024-04-07,Potato,43.18,26.69,1.57,75.68,No,No,14.97,88.31,Summer,Sunday
2024-04-07,Chilli,56.62,29.59,3.18,75.63,No,No,9.61,46.72,Summer,Sunday
2024-04-07,Pumpkin,34.97,30.73,3.39,63.3,No,No,17.04,84.47,Summer,Sunday
2024-04-07,Radish,37.86,33.99,4.19,86.17,No,No,18.15,87.8,Summer,Sunday
2024-04-07,Spinach,39.79,27.31,2.01,66.87,No,No,6.87,78.01,Summer,Sunday
2024-04-07,Coriander,29.74,25.71,1.14,56.26,No,No,15.43,72.72,Summer,Sunday
2024-04-08,Tomato,36.65,26.43,1.51,81.65,No,No,9.5,46.51,Summer,Monday
2024-04-08,Brinjal,40.02,34.15,2.41,88.43,No,No,18.85,71.05,Summer,Monday
2024-04-08,Onion,49.88,37.09,4.33,86.86,No,No,8.16,57.97,Summer,Monday
2024-04-08,Carrot,50.59,37.88,3.73,83.42,No,No,13.79,56.21,Summer,Monday
2024-04-08,Beans,44.63,33.85,2.46,63.75,No,No,9.36,45.91,Summer,Monday
2024-04-08,Cabbage,39.0,25.15,2.47,87.18,No,No,16.69,93.42,Summer,Monday
2024-04-08,Cauliflower,45.79,33.96,0.83,62.65,No,No,5.35,47.68,Summer,Monday
2024-04-08,Potato,37.78,28.51,3.82,58.75,No,No,11.22,48.17,Summer,Monday
2024-04-08,Chilli,62.11,30.71,3.78,70.56,No,No,14.34,90.73,Summer,Monday
2024-04-08,Pumpkin,41.91,25.23,4.76,85.75,No,No,9.89,94.14,Summer,Monday
2024-04-08,Radish,43.29,25.46,4.66,57.27,No,No,5.6,71.06,Summer,Monday
2024-04-08,Spinach,42.28,36.21,4.15,88.98,No,No,9.22,98.68,Summer,Monday
2024-04-08,Coriander,29.68,32.81,1.74,65.36,No,No,16.11,74.79,Summer,Monday
2024-04-09,Tomato,35.76,36.59,4.36,78.52,No,No,10.95,47.12,Summer,Tuesday
2024-04-09,Brinjal,44.25,34.15,1.99,70.08,No,No,15.78,81.48,Summer,Tuesday
2024-04-09,Onion,43.34,35.74,3.54,55.74,No,No,14.25,46.55,Summer,Tuesday
2024-04-09,Carrot,54.49,27.6,0.42,72.61,No,No,18.24,91.31,Summer,Tuesday
2024-04-09,Beans,44.27,31.69,2.39,50.01,No,No,9.25,43.74,Summer,Tuesday
2024-04-09,Cabbage,39.99,25.95,2.93,80.68,No,No,14.22,89.74,Summer,Tuesday
2024-04-09,Cauliflower,49.69,30.5,4.01,84.66,No,No,10.22,84.23,Summer,Tuesday
2024-04-09,Potato,41.09,37.98,4.59,87.38,No,No,12.71,69.92,Summer,Tuesday
2024-04-09,Chilli,64.41,33.86,2.99,63.24,No,No,6.56,75.03,Summer,Tuesday
2024-04-09,Pumpkin,28.17,27.66,3.29,81.01,No,No,15.61,45.47,Summer,Tuesday
2024-04-09,Radish,37.7,31.23,4.61,75.33,No,No,13.79,71.77,Summer,Tuesday
2024-04-09,Spinach,33.56,26.77,2.59,62.14,No,No,10.85,60.77,Summer,Tuesday
2024-04-09,Coriander,25.62,29.53,4.6,61.38,No,No,18.75,63.71,Summer,Tuesday
2024-04-10,Tomato,45.06,37.12,2.8,50.59,No,No,8.67,85.63,Summer,Wednesday
2024-04-10,Brinjal,35.7,34.59,3.85,85.01,No,No,18.15,47.05,Summer,Wednesday
2024-04-10,Onion,46.28,34.73,1.52,87.2,No,No,13.43,58.38,Summer,Wednesday
2024-04-10,Carrot,54.6,31.62,0.48,61.91,No,No,17.21,88.25,Summer,Wednesday
2024-04-10,Beans,47.17,29.15,3.1,82.95,No,No,6.8,49.66,Summer,Wednesday
2024-04-10,Cabbage,39.33,33.88,3.55,85.88,No,No,7.39,62.53,Summer,Wednesday
2024-04-10,Cauliflower,53.25,30.87,1.54,66.05,No,No,6.05,87.42,Summer,Wednesday
2024-04-10,Potato,37.63,34.68,2.42,78.84,No,No,18.57,73.16,Summer,Wednesday
2024-04-10,Chilli,60.34,29.41,0.22,74.27,No,No,16.44,89.23,Summer,Wednesday
2024-04-10,Pumpkin,29.99,31.12,2.69,64.59,No,No,16.22,56.7,Summer,Wednesday
2024-04-10,Radish,42.56,27.42,3.01,56.85,No,No,13.92,96.54,Summer,Wednesday
2024-04-10,Spinach,30.27,36.6,1.15,89.87,No,No,13.09,52.15,Summer,Wednesday
2024-04-10,Coriander,27.75,36.34,3.27,83.18,No,No,13.02,54.34,Summer,Wednesday
2024-04-11,Tomato,31.37,33.99,0.56,75.05,No,No,15.32,40.47,Summer,Thursday
2024-04-11,Brinjal,44.95,37.71,0.4,59.88,No,No,6.64,52.97,Summer,Thursday
2024-04-11,Onion,56.85,35.3,4.67,74.7,No,No,9.93,99.0,Summer,Thursday
2024-04-11,Carrot,62.28,28.6,4.69,61.55,No,No,9.27,98.85,Summer,Thursday
2024-04-11,Beans,56.86,36.16,4.26,81.37,No,No,6.05,95.49,Summer,Thursday
2024-04-11,Cabbage,30.67,30.19,4.7,57.47,No,No,17.53,54.73,Summer,Thursday
2024-04-11,Cauliflower,44.16,35.19,2.53,55.23,No,No,16.39,78.19,Summer,Thursday
2024-04-11,Potato,45.62,33.83,3.84,72.77,No,No,6.33,70.27,Summer,Thursday
2024-04-11,Chilli,61.17,25.92,0.45,79.4,No,No,6.96,60.23,Summer,Thursday
2024-04-11,Pumpkin,39.78,34.07,3.64,64.51,No,No,13.72,96.91,Summer,Thursday
2024-04-11,Radish,39.72,25.82,4.76,83.64,No,No,13.73,81.64,Summer,Thursday
2024-04-11,Spinach,33.87,36.19,2.94,62.79,No,No,11.0,62.85,Summer,Thursday
2024-04-11,Coriander,29.46,33.48,1.68,51.82,No,No,11.22,56.59,Summer,Thursday
2024-04-12,Tomato,38.42,31.34,2.36,53.06,No,No,8.99,53.58,Summer,Friday
2024-04-12,Brinjal,46.33,25.99,0.79,53.34,No,No,11.16,75.69,Summer,Friday
2024-04-12,Onion,53.27,37.18,0.88,66.44,No,No,5.58,65.87,Summer,Friday
2024-04-12,Carrot,46.44,36.46,4.48,62.66,No,No,15.81,42.52,Summer,Friday
2024-04-12,Beans,40.91,34.77,3.61,56.58,No,No,15.32,48.16,Summer,Friday
2024-04-12,Cabbage,32.35,32.14,2.53,64.14,No,No,13.18,47.9,Summer,Friday
2024-04-12,Cauliflower,45.9,36.85,2.92,63.57,No,No,12.89,74.62,Summer,Friday
2024-04-12,Potato,33.24,37.84,3.3,53.42,No,No,18.34,50.38,Summer,Friday
2024-04-12,Chilli,56.11,29.7,3.13,57.27,No,No,10.98,48.97,Summer,Friday
2024-04-12,Pumpkin,32.52,28.14,0.77,51.66,No,No,8.33,41.74,Summer,Friday
2024-04-12,Radish,33.65,35.69,1.25,56.98,No,No,11.05,41.93,Summer,Friday
2024-04-12,Spinach,33.09,33.61,4.39,51.57,No,No,13.03,66.06,Summer,Friday
2024-04-12,Coriander,35.74,35.54,4.75,72.21,No,No,6.38,71.02,Summer,Friday
2024-04-13,Tomato,46.04,37.25,1.92,76.57,No,No,7.21,85.44,Summer,Saturday
2024-04-13,Brinjal,47.15,25.66,1.31,83.06,No,No,13.17,86.84,Summer,Saturday
2024-04-13,Onion,54.3,28.1,4.8,56.9,No,No,5.14,69.48,Summer,Saturday
2024-04-13,Carrot,56.91,34.06,4.19,78.45,No,No,11.35,79.3,Summer,Saturday
2024-04-13,Beans,52.56,37.02,3.43,85.28,No,No,11.03,91.39,Summer,Saturday
2024-04-13,Cabbage,43.19,29.44,3.52,65.2,No,No,11.0,94.46,Summer,Saturday
2024-04-13,Cauliflower,42.84,27.28,3.19,58.36,No,No,7.77,41.39,Summer,Saturday
2024-04-13,Potato,39.83,31.7,4.05,72.21,No,No,12.38,62.5,Summer,Saturday
2024-04-13,Chilli,58.84,31.67,2.25,76.3,No,No,12.91,69.39,Summer,Saturday
2024-04-13,Pumpkin,37.42,25.57,2.81,79.44,No,No,11.75,78.25,Summer,Saturday
2024-04-13,Radish,35.49,28.28,0.07,53.53,No,No,9.88,47.03,Summer,Saturday
2024-04-13,Spinach,34.13,26.11,0.87,51.22,No,No,18.66,90.94,Summer,Saturday
2024-04-13,Coriander,28.53,34.35,4.31,51.39,No,No,16.62,70.84,Summer,Saturday
2024-04-14,Tomato,47.52,36.79,2.5,63.45,Yes,No,16.07,98.83,Summer,Sunday
2024-04-14,Brinjal,51.72,35.83,0.6,64.18,Yes,No,13.95,87.43,Summer,Sunday
2024-04-14,Onion,49.55,30.43,4.23,82.5,Yes,No,17.3,63.32,Summer,Sunday
2024-04-14,Carrot,54.05,27.52,2.52,70.72,Yes,No,17.23,60.55,Summer,Sunday
2024-04-14,Beans,53.62,25.95,4.23,56.93,Yes,No,9.97,68.0,Summer,Sunday
2024-04-14,Cabbage,41.8,30.43,2.72,84.87,Yes,No,17.28,84.49,Summer,Sunday
2024-04-14,Cauliflower,47.2,26.12,0.15,55.49,Yes,No,15.55,65.45,Summer,Sunday
2024-04-14,Potato,55.43,25.33,1.82,57.83,Yes,No,5.27,90.6,Summer,Sunday
2024-04-14,Chilli,60.9,36.28,1.64,77.24,Yes,No,18.9,75.63,Summer,Sunday
2024-04-14,Pumpkin,35.17,33.54,0.62,53.19,Yes,No,19.67,69.7,Summer,Sunday
2024-04-14,Radish,44.6,36.06,3.69,80.07,Yes,No,10.48,69.7,Summer,Sunday
2024-04-14,Spinach,31.93,28.03,2.01,82.28,Yes,No,15.81,44.98,Summer,Sunday
2024-04-14,Coriander,35.32,34.28,3.86,73.44,Yes,No,15.34,75.31,Summer,Sunday
2024-04-15,Tomato,42.13,27.96,3.01,75.85,No,No,10.87,78.68,Summer,Monday
2024-04-15,Brinjal,45.95,32.53,1.64,54.34,No,No,6.65,58.04,Summer,Monday
2024-04-15,Onion,44.19,29.26,3.17,62.77,No,No,15.01,53.46,Summer,Monday
2024-04-15,Carrot,54.18,34.37,4.96,81.3,No,No,11.93,67.65,Summer,Monday
2024-04-15,Beans,49.93,29.42,4.68,81.83,No,No,14.8,91.47,Summer,Monday
2024-04-15,Cabbage,31.83,25.3,2.33,55.56,No,No,14.59,50.22,Summer,Monday
2024-04-15,Cauliflower,51.09,31.91,4.25,69.55,No,No,5.64,75.2,Summer,Monday
2024-04-15,Potato,35.33,37.57,3.63,55.83,No,No,14.37,46.95,Summer,Monday
2024-04-15,Chilli,64.3,27.96,4.77,80.68,No,No,7.64,78.25,Summer,Monday
2024-04-15,Pumpkin,36.44,27.37,2.4,54.37,No,No,14.1,81.53,Summer,Monday
2024-04-15,Radish,37.34,26.69,0.68,75.46,No,No,17.42,82.69,Summer,Monday
2024-04-15,Spinach,30.19,30.35,2.57,50.08,No,No,13.16,52.03,Summer,Monday
2024-04-15,Coriander,28.63,30.58,1.47,86.24,No,No,19.26,80.54,Summer,Monday
2024-04-16,Tomato,41.14,31.72,1.8,55.89,No,No,11.93,77.47,Summer,Tuesday
2024-04-16,Brinjal,44.26,35.39,1.26,76.01,No,No,19.28,93.8,Summer,Tuesday
2024-04-16,Onion,53.96,25.83,4.49,53.43,No,No,5.57,69.29,Summer,Tuesday
2024-04-16,Carrot,49.7,29.74,1.51,72.83,No,No,18.5,68.27,Summer,Tuesday
2024-04-16,Beans,43.31,32.46,0.99,52.82,No,No,13.23,52.85,Summer,Tuesday
2024-04-16,Cabbage,35.05,32.92,2.11,86.12,No,No,19.99,85.23,Summer,Tuesday
2024-04-16,Cauliflower,45.07,28.41,1.34,65.25,No,No,6.74,48.94,Summer,Tuesday
2024-04-16,Potato,33.19,37.69,1.84,56.54,No,No,15.78,41.16,Summer,Tuesday
2024-04-16,Chilli,68.12,31.71,3.32,82.36,No,No,6.1,91.95,Summer,Tuesday
2024-04-16,Pumpkin,42.5,31.06,4.74,79.02,No,No,9.32,95.13,Summer,Tuesday
2024-04-16,Radish,44.19,28.96,2.54,77.73,No,No,7.43,81.96,Summer,Tuesday
2024-04-16,Spinach,26.84,29.17,1.05,74.59,No,No,15.85,44.66,Summer,Tuesday
2024-04-16,Coriander,29.68,36.21,1.04,83.37,No,No,6.76,42.04,Summer,Tuesday
2024-04-17,Tomato,37.02,33.44,0.66,50.17,No,No,14.47,65.75,Summer,Wednesday
2024-04-17,Brinjal,40.26,37.6,2.51,82.4,No,No,15.66,61.09,Summer,Wednesday
2024-04-17,Onion,52.61,34.54,3.81,66.01,No,No,14.07,92.32,Summer,Wednesday
2024-04-17,Carrot,53.45,34.66,3.01,63.3,No,No,17.68,84.14,Summer,Wednesday
2024-04-17,Beans,42.08,30.42,4.26,75.54,No,No,17.58,61.95,Summer,Wednesday
2024-04-17,Cabbage,36.6,27.61,1.69,55.19,No,No,17.44,84.06,Summer,Wednesday
2024-04-17,Cauliflower,46.15,33.89,4.49,67.07,No,No,8.45,60.34,Summer,Wednesday
2024-04-17,Potato,50.47,36.0,3.98,64.05,No,No,6.66,95.66,Summer,Wednesday
2024-04-17,Chilli,61.77,33.54,0.02,58.8,No,No,5.82,59.22,Summer,Wednesday
2024-04-17,Pumpkin,32.59,26.25,1.18,64.54,No,No,19.3,80.52,Summer,Wednesday
2024-04-17,Radish,46.77,31.48,4.09,65.85,No,No,8.54,98.72,Summer,Wednesday
2024-04-17,Spinach,37.34,31.19,2.26,78.98,No,No,12.57,85.68,Summer,Wednesday
2024-04-17,Coriander,28.97,30.26,1.31,80.78,No,No,14.5,65.58,Summer,Wednesday
2024-04-18,Tomato,32.95,33.69,4.16,54.86,No,No,19.48,62.94,Summer,Thursday
2024-04-18,Brinjal,44.67,25.14,0.74,58.46,No,No,9.56,61.79,Summer,Thursday
2024-04-18,Onion,54.81,28.1,1.55,85.42,No,No,9.64,87.81,Summer,Thursday
2024-04-18,Carrot,47.02,27.28,0.53,64.65,No,No,19.15,57.1,Summer,Thursday
2024-04-18,Beans,46.22,37.15,3.23,69.71,No,No,12.32,64.23,Summer,Thursday
2024-04-18,Cabbage,28.81,28.64,1.75,78.57,No,No,19.79,53.29,Summer,Thursday
2024-04-18,Cauliflower,45.16,31.42,4.98,53.88,No,No,13.53,73.14,Summer,Thursday
2024-04-18,Potato,32.23,36.09,0.07,56.85,No,No,17.95,43.98,Summer,Thursday
2024-04-18,Chilli,64.84,36.14,4.14,60.01,No,No,5.51,73.51,Summer,Thursday
2024-04-18,Pumpkin,27.54,35.32,4.09,58.03,No,No,18.13,51.13,Summer,Thursday
2024-04-18,Radish,41.58,35.49,3.6,70.02,No,No,9.02,74.45,Summer,Thursday
2024-04-18,Spinach,32.08,34.44,4.65,57.26,No,No,16.15,71.92,Summer,Thursday
2024-04-18,Coriander,32.41,27.52,4.53,77.73,No,No,12.31,75.11,Summer,Thursday
2024-04-19,Tomato,41.8,26.76,2.23,73.14,No,No,9.23,71.32,Summer,Friday
2024-04-19,Brinjal,44.19,29.27,4.06,72.53,No,No,5.96,46.79,Summer,Friday
2024-04-19,Onion,47.88,36.62,2.7,77.77,No,No,17.32,80.02,Summer,Friday
2024-04-19,Carrot,53.92,37.97,0.61,87.2,No,No,14.11,73.99,Summer,Friday
2024-04-19,Beans,43.78,36.27,0.02,60.88,No,No,19.11,75.8,Summer,Friday
2024-04-19,Cabbage,42.72,28.89,2.86,81.41,No,No,10.2,89.3,Summer,Friday
2024-04-19,Cauliflower,42.65,30.5,4.03,86.2,No,No,17.04,72.87,Summer,Friday
2024-04-19,Potato,49.92,26.33,4.49,56.33,No,No,6.9,93.75,Summer,Friday
2024-04-19,Chilli,60.41,32.3,2.43,72.99,No,No,12.47,75.72,Summer,Friday
2024-04-19,Pumpkin,41.39,34.76,3.94,55.74,No,No,11.2,96.17,Summer,Friday
2024-04-19,Radish,36.11,35.73,2.56,82.64,No,No,8.3,44.58,Summer,Friday
2024-04-19,Spinach,29.73,29.89,0.79,66.37,No,No,12.99,49.13,Summer,Friday
2024-04-19,Coriander,28.78,32.36,4.34,55.8,No,No,12.88,58.99,Summer,Friday
2024-04-20,Tomato,32.65,28.38,0.32,51.37,No,No,19.89,62.85,Summer,Saturday
2024-04-20,Brinjal,47.94,25.29,1.31,83.24,No,No,10.64,81.92,Summer,Saturday
2024-04-20,Onion,53.36,37.75,2.68,83.0,No,No,10.34,82.99,Summer,Saturday
2024-04-20,Carrot,58.6,28.93,2.17,82.96,No,No,11.21,87.24,Summer,Saturday
2024-04-20,Beans,50.77,30.21,4.22,75.51,No,No,11.91,85.53,Summer,Saturday
2024-04-20,Cabbage,33.47,28.28,1.16,75.81,No,No,13.02,52.93,Summer,Saturday
2024-04-20,Cauliflower,47.1,28.76,4.34,65.29,No,No,11.09,74.29,Summer,Saturday
2024-04-20,Potato,43.4,26.03,3.88,79.62,No,No,16.91,96.19,Summer,Saturday
2024-04-20,Chilli,60.55,26.1,3.4,78.87,No,No,13.07,78.49,Summer,Saturday
2024-04-20,Pumpkin,34.21,27.94,4.81,74.53,No,No,9.41,54.0,Summer,Saturday
2024-04-20,Radish,30.84,36.37,1.93,77.93,No,No,19.09,56.01,Summer,Saturday
2024-04-20,Spinach,35.84,31.41,3.63,55.79,No,No,18.17,97.79,Summer,Saturday
2024-04-20,Coriander,28.92,27.51,3.69,68.02,No,No,16.92,73.8,Summer,Saturday
2024-04-21,Tomato,39.91,35.81,4.25,88.65,No,No,11.49,69.74,Summer,Sunday
2024-04-21,Brinjal,44.04,31.92,3.26,78.79,No,No,16.93,84.44,Summer,Sunday
2024-04-21,Onion,42.74,29.34,0.67,71.69,No,No,16.76,52.36,Summer,Sunday
2024-04-21,Carrot,54.01,32.64,4.25,84.06,No,No,12.09,67.34,Summer,Sunday
2024-04-21,Beans,49.85,36.32,4.83,54.95,No,No,15.57,93.75,Summer,Sunday
2024-04-21,Cabbage,42.09,28.99,3.48,65.39,No,No,11.83,91.86,Summer,Sunday
2024-04-21,Cauliflower,48.26,26.57,3.9,82.66,No,No,9.36,74.07,Summer,Sunday
2024-04-21,Potato,36.87,31.89,0.77,76.42,No,No,14.56,55.32,Summer,Sunday
2024-04-21,Chilli,57.81,33.22,0.88,79.4,No,No,9.82,53.4,Summer,Sunday
2024-04-21,Pumpkin,38.17,25.65,4.31,86.97,No,No,16.11,97.25,Summer,Sunday
2024-04-21,Radish,39.15,36.19,1.09,57.75,No,No,17.8,93.06,Summer,Sunday
2024-04-21,Spinach,38.97,32.53,4.71,67.1,No,No,13.11,95.74,Summer,Sunday
2024-04-21,Coriander,33.34,28.33,1.18,50.2,No,No,7.78,63.92,Summer,Sunday
2024-04-22,Tomato,44.84,33.7,2.26,58.51,No,No,5.77,74.4,Summer,Monday
2024-04-22,Brinjal,46.2,35.67,4.63,64.87,No,No,9.06,67.7,Summer,Monday
2024-04-22,Onion,44.4,29.15,0.4,64.3,No,No,15.29,55.51,Summer,Monday
2024-04-22,Carrot,45.27,26.59,1.98,64.34,No,No,18.71,46.82,Summer,Monday
2024-04-22,Beans,42.65,25.29,2.22,65.14,No,No,11.96,45.12,Summer,Monday
2024-04-22,Cabbage,36.17,29.02,0.4,89.3,No,No,12.51,64.63,Summer,Monday
2024-04-22,Cauliflower,44.32,32.99,3.55,51.9,No,No,14.34,71.79,Summer,Monday
2024-04-22,Potato,47.64,28.22,1.47,87.99,No,No,6.37,80.49,Summer,Monday
